Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Nov;General;Baja;Otros;Público;BTCGSD05 (BT / Entidades Oficiales);346;100,25;9.216,87;995;467,09;42.842,12;411;197,16;18.230,36;1.374;984,73;91.366,47;635;522,27;47.559,98;289;181,53;16.670,47;557;393,23;36.140,33;344;215,02;19.619,85;610;2.148,06;199.300,10;690;508,65;46.770,60;296;138,09;12.716,80
Nov;General;Baja;Otros;Público;BTCGCD07 (BT / Entidades Oficiales con Demanda);11;37,71;4.009,23;0;0,00;0,00;24;39,15;4.035,81;302;812,40;80.321,93;76;216,18;22.552,17;26;66,32;7.300,57;72;196,93;20.254,53;67;272,99;28.023,10;7;15,79;1.699,42;3;8,54;835,52;33;27,41;3.254,98
Nov;General;Baja;Otros;Público;BTCGCD35 (BT / Entidades Oficiales con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;2,35;264,82;0;0,00;0,00;0;0,00;0,00;8;93,89;8.715,91;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;210;861,95;83.593,95
Nov;General;Baja;Otros;Público;BTCGCD08 (BT / Escenarios Deportivos con Demanda);0;0,00;0,00;0;0,00;0,00;5;1,24;194,74;0;0,00;0,00;0;0,00;0,00;1;0,00;6,20;0;0,00;0,00;0;0,00;0,00;1;0,00;87,63;0;0,00;0,00;13;5,53;673,51
Nov;General;Baja;Industrial;Público;BTCGSD02 (BT / Industrial Artesanal);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;0,37;29,27;0;0,00;0,00;0;0,00;0,00
Nov;General;Baja;Industrial;Público;BTCGCD02 (BT / Industrial con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Baja;Industrial;Público;BTCGCD30 (BT / Industrial con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;6,60;622,75
Nov;Residencial;No aplica;Residencial;Público;REFACTRE (Residencial / Refacturaciones y Reliquidaciones);0;26,76;0,00;0;0,00;0,00;0;-0,47;-491,30;0;0,00;0,00;0;0,00;-41,80;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;-0,01;-0,90;0;0,00;0,00;0;0,00;0,00
Nov;General;Baja;Otros;Público;BTCGCD09 (BT / Otros con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Baja;Otros;Público;BTCGCD37 (BT / Autoconsumo con Demana Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Baja;Otros;Público;BTCGCD38 (BT / Otros con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Baja;Otros;Público;BTCGSD08 (BT / Otros);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Baja;Otros;Público;BTCGSD12 (BT / Escenarios Deportivos);0;0,00;0,00;19;2,15;207,36;0;0,00;0,00;0;0,00;0,00;1;1,25;113,99;8;1,71;161,80;11;4,29;393,20;2;1,50;136,00;10;6,82;631,57;11;1,78;166,93;6;1,86;175,99
Nov;Residencial;Baja;Residencial;Público;BTCRSD02 (BT / Residencial Temporal);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;11;0,77;114,72;0;0,00;0,00;0;0,00;0,00
Nov;General;Baja;Otros;Público;BTCGSD13 (BT / Bombeo de Agua);0;0,00;0,00;0;0,00;0,00;5;3,59;291,48;1;1,23;103,89;0;0,00;0,00;7;5,21;428,51;13;18,30;1.518,38;72;77,79;6.391,23;6;4,21;341,48;25;19,99;1.644,93;0;0,00;0,00
Nov;General;Baja;Otros;Público;BTCGCD12 (BT / Ocasional);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Baja;Otros;Público;BTCGSD11 (BT / Servicio Comunitario);0;0,00;0,00;3;0,24;24,13;5;0,50;47,97;18;8,26;777,66;8;3,38;315,91;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;0,00;1,41;1;0,00;1,41;0;0,00;0,00
Nov;General;Baja;Otros;Público;BTCGCD11 (BT / Servicio Comunitario con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;8;14,39;1.511,76;2;0,47;140,61;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Baja;Otros;Público;BTCGCD36 (BT / Escenarios Deportivos con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;5;10,56;1.315,53
Nov;General;Baja;Otros;Público;BTCGCD39 (BT / Servicio Comunitario con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;Residencial;Baja;Residencial;Público;BTCRSD01 (BT / Residencial);0;0,00;0,00;535;75,36;8.448,64;562;124,70;13.117,71;190;47,88;6.476,01;213;26,47;2.918,13;3;0,12;15,14;267;52,77;5.667,78;113;22,94;2.509,67;137;16,19;1.769,22;113;13,55;1.535,43;0;0,00;0,00
Nov;General;Baja;Otros;Público;BTCGCD41 (BT / Vehículos Eléctricos con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Media;Otros;Público;MTCGCD05 (MT / Abonados Especiales con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Media;Otros;Público;MTCGCD06 (MT / Abonados Especiales con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Media;Otros;Público;MTCGCD07 (MT / Asistencia Social con Demanda);14;110,93;8.819,53;18;18,66;1.707,89;18;136,06;10.896,38;28;348,44;26.008,41;27;354,79;26.725,48;26;261,22;19.794,03;57;161,65;13.101,21;13;245,55;17.838,95;12;340,10;24.691,85;15;125,66;9.577,12;0;0,00;0,00
Nov;General;Media;Otros;Público;MTCGCD08 (MT / Asistencia Social con Demanda Horaria);0;0,00;0,00;38;1.452,99;98.101,21;7;743,09;49.526,64;20;5.835,84;354.804,64;4;543,36;36.203,76;3;478,05;32.297,31;33;2.687,05;178.900,54;1;331,30;21.792,64;0;0,00;0,00;10;663,88;44.942,06;7;198,97;13.871,38
Nov;General;Media;Otros;Público;MTCGCD09 (MT / Beneficio Público con Demanda);35;116,12;9.042,58;38;66,21;5.232,91;53;287,54;23.884,62;58;1.179,64;84.964,58;62;426,65;35.262,05;27;96,02;7.993,15;217;475,40;40.182,49;17;132,91;10.599,14;19;86,39;6.689,35;35;167,10;13.065,78;0;0,00;0,00
Nov;General;Media;Otros;Público;MTCGCD10 (MT / Beneficio Público con Demanda Horaria);0;0,00;0,00;46;422,21;31.928,88;4;7,25;929,42;21;1.857,63;119.800,19;4;50,05;3.505,56;1;45,12;3.257,41;21;998,90;72.788,36;0;0,00;0,00;0;0,00;0,00;3;50,99;3.899,56;10;109,83;7.775,72
